id,name,countryCode,parentAreaId
2000,Afghanistan,AFG,2014
2001,Africa,AFR,2267
2002,Albania,ALB,2077
2004,Algeria,ALG,2001
2005,American Samoa,ASM,2175
2006,Andorra,AND,2077
2007,Angola,ANG,2001
2008,Anguilla,AIA,2159
2009,Antigua and Barbuda,ATG,2159
2010,Arameans Suryoye,ARS,2267
2011,Argentina,ARG,2220
2012,Armenia,ARM,2077
2013,Aruba,ABW,2159
2014,Asia,ASI,2267
2015,Australia,AUS,2014
2016,Austria,AUT,2077
2017,Azerbaijan,AZE,2077
2018,Bahamas,BHS,2159
2019,Bahrain,BHR,2014
2020,Bangladesh,BAN,2014
2021,Barbados,BRB,2159
2022,Belarus,BLR,2077
2023,Belgium,BEL,2077
2024,Belize,BLZ,2159
2025,Benin,BEN,2001
2026,Bermuda,BMU,2159
2027,Bhutan,BHU,2014
2028,Bolivia,BOL,2220
2029,Bonaire,BON,2159
2030,Bosnia and Herzegovina,BIH,2077
2031,Botswana,BOT,2001
2032,Brazil,BRA,2220
2033,British Virgin Islands,BVI,2159
2034,Brunei Darussalam,BRU,2014
2035,Bulgaria,BGR,2077
2036,Burkina Faso,BFA,2001
2037,Burundi,BDI,2001
2038,Cambodia,CAM,2014
2039,Cameroon,CMR,2001
2040,Canada,CAN,2159
2041,Cape Verde Islands,CPV,2001
2042,Cayman Islands,CYM,2159
2043,Central African Republic,CTA,2001
2044,Chad,CHA,2001
2045,Chile,CHL,2220
2046,China PR,CHN,2014
2047,Chinese Taipei,TPE,2014
2048,CIS,CIS,2077
2049,Colombia,COL,2220
2050,Comoros,CMO,2001
2051,Congo,CGO,2001
2052,Congo DR,COD,2001
2053,Cook Islands,COK,2175
2054,Corsica,COR,2077
2055,Costa Rica,CRI,2159
2056,Côte d’Ivoire,CIV,2001
2057,Crimea,ARC,2077
2058,Croatia,HRV,2077
2059,Cuba,CUB,2159
2060,Curaçao,ANT,2159
2061,Cyprus,CYP,2077
2062,Czech Republic,CZE,2077
2063,Czechoslovakia,CZS,2077
2064,Darfur,DAR,2267
2065,Denmark,DNK,2077
2066,Djibouti,DJI,2001
2067,Dominica,DMA,2159
2068,Dominican Republic,DOM,2159
2069,Ecuador,ECU,2220
2070,Egypt,EGY,2001
2071,El Salvador,SLV,2159
2072,England,ENG,2077
2073,Equatorial Guinea,EQG,2001
2074,Eritrea,ERI,2001
2075,Estonia,EST,2077
2076,Ethiopia,ETH,2001
2077,Europe,EUR,2267
2078,Faroe Islands,FRO,2077
2079,Fiji,FJI,2175
2080,Finland,FIN,2077
2081,France,FRA,2077
2082,French Guiana,FGU,2159
2083,FYR Macedonia,MKD,2077
2084,Gabon,GAB,2001
2085,Gambia,GAM,2001
2086,GDR,GDR,2077
2087,Georgia,GEO,2077
2088,Germany,DEU,2077
2089,Ghana,GHA,2001
2090,Gibraltar,GIB,2077
2091,Gozo,GOZ,2077
2092,Great Britain,GBR,2077
2093,Greece,GRC,2077
2094,Greenland,GEE,2077
2095,Grenada,GRD,2159
2096,Guadeloupe,GDL,2159
2097,Guam,GUM,2014
2098,Guatemala,GTM,2159
2099,Guernsey,GGY,2077
2100,Guinea,GUI,2001
2101,Guinea-Bissau,GNB,2001
2102,Guyana,GUY,2159
2103,Haiti,HTI,2159
2104,Honduras,HND,2159
2105,Hong Kong,HKG,2014
2106,Hungary,HUN,2077
2107,Iceland,ISL,2077
2108,India,IND,2014
2109,Indonesia,IDN,2014
2110,Iran,IRN,2014
2111,Iraq,IRQ,2014
2112,Isle of Man,IOM,2077
2113,Israel,ISR,2077
2114,Italy,ITA,2077
2115,Jamaica,JAM,2159
2116,Japan,JPN,2014
2117,Jersey,JER,2077
2118,Jordan,JOR,2014
2119,Kazakhstan,KAZ,2077
2120,Kenya,KEN,2001
2121,Kiribati,KIR,2175
2122,Korea DPR,PRK,2014
2123,Korea Republic,KOR,2014
