id,name,shortName,tla
1,1. FC Koln,1. FC Koln,KOE
2,TSG 1899 Hoffenheim,Hoffenheim,TSG
3,Bayer 04 Leverkusen,Leverkusen,B04
4,Borussia Dortmund,Dortmund,BVB
5,FC Bayern Munchen,Bayern,FCB
6,FC Schalke 04,Schalke,S04
7,Hamburger SV,HSV,HSV
8,Hannover 96,Hannover,H96
9,Hertha BSC,Hertha BSC,BSC
10,VfB Stuttgart,Stuttgart,VFB
11,VfL Wolfsburg,Wolfsburg,WOB
12,SV Werder Bremen,Bremen,SVW
13,1. FC Kaiserslautern,Kaiserslautern,FCK
14,1. FC Nurnberg,Nurnberg,FCN
15,1. FSV Mainz 05,Mainz,M05
16,FC Augsburg,Augsburg,FCA
17,SC Freiburg,Freiburg,SCF
18,Borussia Monchengladbach,M'gladbach,BMG
19,Eintracht Frankfurt,Frankfurt,SGE
20,FC St. Pauli 1910,St. Pauli,STP
21,SpVgg Greuther Furth 1903,Greuther Furth,FUR
22,FC Erzgebirge Aue,Erzgebirge Aue,AUE
23,FC Energie Cottbus,Cottbus,FCE
24,TSV Fortuna 95 Dusseldorf,Dusseldorf,F95
25,MSV Duisburg,Duisburg,DUI
26,TSV 1860 Munchen,1860 Munchen,60M
27,Alemannia Aachen,Aachen,AAC
28,1. FC Union Berlin,Union Berlin,UNB
29,SC Paderborn 07,SC Paderborn,SCP
30,FSV Frankfurt,FSV Frankfurt,FSV
31,FC Ingolstadt 04,Ingolstadt,ING
32,Karlsruher SC,Karlsruhe,KSC
33,Eintracht Braunschweig,Braunschweig,BNS
34,FC Hansa Rostock,Hansa Rostock,ROS
35,SG Dynamo Dresden,Dynamo Dresden,DYN
36,VfL Bochum 1848,Bochum,BOC
37,SC Rot-Weiss Oberhausen,Oberhausen,RWO
38,Arminia Bielefeld,Bielefeld,BIE
39,SV Wehen Wiesbaden,Wehen,SVW
41,1. FC Saarbrucken,Saarbrucken,SAR
42,Offenbacher Kickers,Kick. Offenbach,OFF
43,SSV Jahn Regensburg,Regensburg,REG
44,1. FC Heidenheim 1846,Heidenheim,HEI
45,VfB Stuttgart II,Stuttgart II,STU
46,SV Sandhausen 1916,Sandhausen,SAN
47,SV Babelsberg 03,Babelsberg,BAB
48,SpVgg Unterhaching,Unterhaching,UNT
49,FC Carl Zeiss Jena,CZ Jena,CZJ
50,VfR Aalen,Aalen,AAL
53,SV Wacker Burghausen,Burghausen,BUR
54,Chemnitzer FC,Chemnitzer FC,CFC
55,SV Darmstadt 98,Darmstadt,SVD
57,Arsenal FC,Arsenal,ARS
58,Aston Villa FC,Aston Villa,AVL
59,Blackburn Rovers FC,Blackburn,BLA
60,Bolton Wanderers FC,Bolton,BOL
61,Chelsea FC,Chelsea,CHE
62,Everton FC,Everton,EVE
63,Fulham FC,Fulham,FUL
64,Liverpool FC,Liverpool,LIV
65,Manchester City FC,Man City,MCI
66,Manchester United FC,Man United,MUN
67,Newcastle United FC,Newcastle,NEW
68,Norwich City FC,Norwich,NOR
69,Queens Park Rangers FC,QPR,QPR
70,Stoke City FC,Stoke,STK
71,Sunderland AFC,Sunderland,SUN
72,Swansea City AFC,Swansea,SWA
73,Tottenham Hotspur FC,Tottenham,TOT
74,West Bromwich Albion FC,West Brom,WBA
75,Wigan Athletic FC,Wigan Athletic,WIG
76,Wolverhampton Wanderers FC,Wolverhampton,WOL
77,Athletic Club,Athletic,ATH
78,Club Atletico de Madrid,Atleti,ATL
79,CA Osasuna,Osasuna,OSA
80,RCD Espanyol de Barcelona,Espanyol,ESP
81,FC Barcelona,Barca,FCB
82,Getafe CF,Getafe,GET
83,Granada CF,Granada,GRA
84,Malaga CF,Malaga,MAL
86,Real Madrid CF,Real Madrid,RMA
87,Rayo Vallecano de Madrid,Rayo Vallecano,RAY
88,Levante UD,Levante,LEV
89,RCD Mallorca,Mallorca,MAL
90,Real Betis Balompie,Real Betis,BET
91,Real Zaragoza,Real Zaragoza,ZAR
92,Real Sociedad de Futbol,Real Sociedad,RSO
94,Villarreal CF,Villarreal,VIL
95,Valencia CF,Valencia,VAL
96,Real Sporting de Gijon,Gijon,SPO
98,AC Milan,Milan,MIL
99,ACF Fiorentina,Fiorentina,FIO
100,AS Roma,Roma,ROM
101,AC Siena,Siena,SIE
102,Atalanta BC,Atalanta,ATA
103,Bologna FC 1909,Bologna,BOL
104,Cagliari Calcio,Cagliari,CAG
105,Calcio Catania,Catania,CAT
106,AC Chievo Verona,Chievo,CHI
107,Genoa CFC,Genoa,GEN
108,FC Internazionale Milano,Inter,INT
109,Juventus FC,Juventus,JUV
110,SS Lazio,Lazio,LAZ
112,Parma Calcio 1913,Parma,PAR
113,SSC Napoli,Napoli,NAP
114,Palermo FC,Palermo,PAL
115,Udinese Calcio,Udinese,UDI
196,SG Wattenscheid 09,Wattenscheid,SGW
198,FSV Zwickau,Zwickau,ZWI
200,ASC Daco-Getica Bucuresti,Daco-Getica,DAC
201,Carrick Rangers FC,Carrick,CAR
204,SC Fortuna Koln,Fortuna Koln,FOR
209,Mannheim,,
213,SV Reutlingen 1905,,
215,Schweinfurt,,
217,Eintracht Trier,Trier,
220,VfB Lubeck,Lubeck,LUB
225,Sportfreunde Siegen,,
235,Oldenburg,,
237,Albacete Balompie,Albacete,ALB
247,CD Logrones,,
250,Real Valladolid CF,Valladolid,VDD
